timestamp,algorithm,paper,dataset,model,seed,num_clients,clients_per_round,local_epochs,local_steps,batch_size,batch_frac,similarity_frac,lr,lr_decay,rounds,best_test_accuracy,final_test_accuracy,final_test_loss,log_file,plot_file
20260609_095106,SCAFFOLD,SCAFFOLD (ICML 2020) — EMNIST logistic regression,EMNIST,emnist_logistic,0,100,20,1,5,,0.2,0.0,1.0,1.0,1,17.08088684095149,17.08088684095149,21.106928128431985,D:\论文-联邦学习\联邦学习代码\experiments\scaffold_emnist\SCAFFOLD_run1_20260609_095106.txt,D:\论文-联邦学习\联邦学习代码\experiments\scaffold_emnist\SCAFFOLD_run1_20260609_095106_results.png
20260609_095212,SCAFFOLD,SCAFFOLD (ICML 2020) — EMNIST logistic regression,EMNIST,emnist_logistic,0,100,20,1,5,,0.2,0.0,1.0,1.0,1,17.08088684095149,17.08088684095149,21.106928128431985,D:\论文-联邦学习\联邦学习代码\experiments\scaffold_emnist\SCAFFOLD_run1_20260609_095212.txt,D:\论文-联邦学习\联邦学习代码\experiments\scaffold_emnist\SCAFFOLD_run1_20260609_095212_results.png
20260609_095356,SCAFFOLD,SCAFFOLD (ICML 2020) — EMNIST logistic regression,EMNIST,emnist_logistic,0,100,20,1,5,,0.2,0.0,1.0,1.0,200,66.61967108826285,66.2087463356344,13.418182531245165,D:\论文-联邦学习\联邦学习代码\experiments\scaffold_emnist\SCAFFOLD_run1_20260609_095356.txt,D:\论文-联邦学习\联邦学习代码\experiments\scaffold_emnist\SCAFFOLD_run1_20260609_095356_results.png
20260610_202651,SCAFFOLD,SCAFFOLD (ICML 2020) — EMNIST logistic regression,EMNIST,emnist_logistic,0,100,fixed,,20,1,5,,0.2,0.0,1.0,1.0,200,66.70048055844502,66.70048055844502,13.602232553445605,20,50.0,D:\论文-联邦学习\联邦学习代码\experiments\scaffold_emnist\SCAFFOLD_run1_20260610_202651.txt,D:\论文-联邦学习\联邦学习代码\experiments\scaffold_emnist\SCAFFOLD_run1_20260610_202651_results.png
