============================================================
ALGORITHM: FedProx
PAPER: FedProx (MLSys 2020)
CONFIG: {'device': 'cpu', 'seed': 0, 'show_plots': False, 'results_path': 'D:\\论文-联邦学习\\联邦学习代码', 'data_path': 'D:\\论文-联邦学习\\联邦学习代码\\data', 'optimizer_momentum': 0.0, 'server_momentum_beta': 0.0, 'server_nesterov': False, 'client_nesterov': False, 'participation_mode': 'fixed', 'lr_decay_per_round': True, 'algorithm': 'FedProx', 'paper': 'FedProx (MLSys 2020)', 'dataset_name': 'MNIST_FEDPROX', 'partition_method': 'fedprox_mnist', 'model_name': 'mnist_logistic', 'num_classes': 10, 'num_clients': 1000, 'clients_per_round': 10, 'local_epochs': 20, 'batch_size': 10, 'lr': 0.01, 'lr_decay': 1.0, 'mu': 0.01, 'client_train_frac': 0.9, 'drop_percent': 0.0, 'weight_decay': 0.0, 'server_lr': 1.0, 'paper_rounds': 200, 'rounds': 200, 'eval_interval': 1, 'experiments_subdir': 'fedprox_mnist', 'run_prefix': 'mnist_fedprox', 'wandb_project': 'federated-learning-fedprox-paper', 'summary_csv': 'D:\\论文-联邦学习\\联邦学习代码\\experiments\\mnist_fedprox_summaries.csv'}
TIMESTAMP: 20260611_142153
============================================================

[FedProx] Round 44/200 - Participants: 10, Avg Local Loss: 0.1555, Test Loss: 0.4585, Test Acc: 86.30%
[FedProx] Round 45/200 - Participants: 10, Avg Local Loss: 0.1343, Test Loss: 0.4597, Test Acc: 86.10%
[FedProx] Round 46/200 - Participants: 10, Avg Local Loss: 0.1235, Test Loss: 0.4542, Test Acc: 86.50%
[FedProx] Round 47/200 - Participants: 10, Avg Local Loss: 0.1399, Test Loss: 0.4498, Test Acc: 86.50%
[FedProx] Round 48/200 - Participants: 10, Avg Local Loss: 0.1235, Test Loss: 0.4466, Test Acc: 86.70%
[FedProx] Round 49/200 - Participants: 10, Avg Local Loss: 0.1426, Test Loss: 0.4417, Test Acc: 87.30%
[FedProx] Round 50/200 - Participants: 10, Avg Local Loss: 0.1680, Test Loss: 0.4422, Test Acc: 87.30%
[FedProx] Round 51/200 - Participants: 10, Avg Local Loss: 0.1244, Test Loss: 0.4405, Test Acc: 87.30%
[FedProx] Round 52/200 - Participants: 10, Avg Local Loss: 0.1547, Test Loss: 0.4378, Test Acc: 87.70%
[FedProx] Round 53/200 - Participants: 10, Avg Local Loss: 0.1334, Test Loss: 0.4343, Test Acc: 87.30%
[FedProx] Round 54/200 - Participants: 10, Avg Local Loss: 0.1349, Test Loss: 0.4352, Test Acc: 87.40%
[FedProx] Round 55/200 - Participants: 10, Avg Local Loss: 0.1242, Test Loss: 0.4330, Test Acc: 87.70%
[FedProx] Round 56/200 - Participants: 10, Avg Local Loss: 0.1365, Test Loss: 0.4315, Test Acc: 87.40%
[FedProx] Round 57/200 - Participants: 10, Avg Local Loss: 0.1343, Test Loss: 0.4282, Test Acc: 87.50%
[FedProx] Round 58/200 - Participants: 10, Avg Local Loss: 0.1031, Test Loss: 0.4286, Test Acc: 86.80%
[FedProx] Round 59/200 - Participants: 10, Avg Local Loss: 0.1584, Test Loss: 0.4260, Test Acc: 87.30%
[FedProx] Round 60/200 - Participants: 10, Avg Local Loss: 0.1190, Test Loss: 0.4262, Test Acc: 87.00%
[FedProx] Round 61/200 - Participants: 10, Avg Local Loss: 0.1499, Test Loss: 0.4279, Test Acc: 86.30%
[FedProx] Round 62/200 - Participants: 10, Avg Local Loss: 0.1250, Test Loss: 0.4213, Test Acc: 87.30%
[FedProx] Round 63/200 - Participants: 10, Avg Local Loss: 0.1116, Test Loss: 0.4174, Test Acc: 87.90%
[FedProx] Round 64/200 - Participants: 10, Avg Local Loss: 0.1043, Test Loss: 0.4179, Test Acc: 87.80%
[FedProx] Round 65/200 - Participants: 10, Avg Local Loss: 0.1327, Test Loss: 0.4158, Test Acc: 88.40%
[FedProx] Round 66/200 - Participants: 10, Avg Local Loss: 0.1084, Test Loss: 0.4143, Test Acc: 87.50%
[FedProx] Round 67/200 - Participants: 10, Avg Local Loss: 0.1531, Test Loss: 0.4179, Test Acc: 87.20%
[FedProx] Round 68/200 - Participants: 10, Avg Local Loss: 0.0941, Test Loss: 0.4166, Test Acc: 87.60%
[FedProx] Round 69/200 - Participants: 10, Avg Local Loss: 0.1170, Test Loss: 0.4136, Test Acc: 87.70%
[FedProx] Round 70/200 - Participants: 10, Avg Local Loss: 0.1263, Test Loss: 0.4095, Test Acc: 87.90%
[FedProx] Round 71/200 - Participants: 10, Avg Local Loss: 0.0977, Test Loss: 0.4097, Test Acc: 87.60%
